,Open,High,Low,Close,Volume,QuoteVolume
2022-09-08 16:48:00+09:00,2762934.0,2763852.0,2762699.0,2762699.0,1.44935856,4005004.51449556
2022-09-08 16:49:00+09:00,2763120.0,2763444.0,2761549.0,2761916.0,1.5329336,4234868.87981404
2022-09-08 16:50:00+09:00,2762014.0,2762020.0,2760000.0,2760349.0,5.72642941,15809586.12962342
2022-09-08 16:51:00+09:00,2760255.0,2761225.0,2760008.0,2760879.0,3.34525304,9234699.93112934
2022-09-08 16:52:00+09:00,2760921.0,2760936.0,2759680.0,2760640.0,3.69131611,10189153.96546825
2022-09-08 16:53:00+09:00,2760640.0,2760886.0,2758676.0,2759342.0,6.47123255,17857717.5871836
2022-09-08 16:54:00+09:00,2759526.0,2763091.0,2759526.0,2762766.0,4.23413844,11693631.05361191
2022-09-08 16:55:00+09:00,2762465.0,2763034.0,2761764.0,2761856.0,2.56805047,7093872.84424568
2022-09-08 16:56:00+09:00,2761856.0,2761865.0,2760521.0,2760970.0,1.60706298,4437065.28880317
2022-09-08 16:57:00+09:00,2761055.0,2761608.0,2760859.0,2761508.0,0.55049874,1520094.07109728
2022-09-08 16:58:00+09:00,2761361.0,2762375.0,2760443.0,2762375.0,1.49625633,4132561.3596748
2022-09-08 16:59:00+09:00,2761846.0,2763799.0,2761524.0,2763029.0,3.08229094,8515968.51442972
2022-09-08 17:00:00+09:00,2763060.0,2763147.0,2753458.0,2761985.0,29.71602013,82025432.92330994
2022-09-08 17:01:00+09:00,2762118.0,2762632.0,2759838.0,2759935.0,6.75952247,18664359.89557266
2022-09-08 17:02:00+09:00,2759935.0,2761927.0,2759652.0,2761082.0,7.41975179,20487217.60809548
2022-09-08 17:03:00+09:00,2761194.0,2761432.0,2760082.0,2760868.0,5.61797899,15510072.60400075
2022-09-08 17:04:00+09:00,2761008.0,2762645.0,2760977.0,2761559.0,4.91998735,13588353.85985036
2022-09-08 17:05:00+09:00,2761389.0,2762120.0,2760781.0,2760825.0,2.6320707,7267627.13632187
2022-09-08 17:06:00+09:00,2760928.0,2761458.0,2760000.0,2760172.0,4.02981425,11125872.29181494
2022-09-08 17:07:00+09:00,2760693.0,2761522.0,2759352.0,2760219.0,6.98772574,19288858.30330437
2022-09-08 17:08:00+09:00,2760219.0,2762629.0,2759628.0,2762100.0,7.33174055,20244829.77200099
2022-09-08 17:09:00+09:00,2762100.0,2762772.0,2761538.0,2762530.0,2.00790618,5546260.97049144
2022-09-08 17:10:00+09:00,2761896.0,2762786.0,2754945.0,2757988.0,17.51983568,48327211.96555297
2022-09-08 17:11:00+09:00,2757937.0,2758540.0,2754472.0,2757679.0,10.43038733,28755422.69945475
2022-09-08 17:12:00+09:00,2757299.0,2758026.0,2756789.0,2758026.0,1.68650967,4650428.82807634
2022-09-08 17:13:00+09:00,2758026.0,2758752.0,2757458.0,2758500.0,1.96052108,5407741.75855513
2022-09-08 17:14:00+09:00,2758824.0,2758904.0,2757347.0,2757798.0,3.74646533,10333884.99403482
2022-09-08 17:15:00+09:00,2758465.0,2758853.0,2756558.0,2758448.0,3.54174258,9767846.93614159
2022-09-08 17:16:00+09:00,2758212.0,2759276.0,2758204.0,2759276.0,0.83116991,2293133.38775378
2022-09-08 17:17:00+09:00,2759334.0,2759428.0,2758525.0,2759148.0,0.6392,1763687.35561375
2022-09-08 17:18:00+09:00,2759117.0,2759468.0,2758560.0,2759170.0,2.6320943,7262172.14666962
2022-09-08 17:19:00+09:00,2759436.0,2759756.0,2758768.0,2759247.0,1.11094,3065133.89868
2022-09-08 17:20:00+09:00,2759258.0,2759604.0,2757084.0,2757933.0,5.36507369,14798026.20474238
2022-09-08 17:21:00+09:00,2758035.0,2758958.0,2755744.0,2756134.0,12.11831959,33412214.89770352
2022-09-08 17:22:00+09:00,2756640.0,2758860.0,2755248.0,2758820.0,11.81719827,32586371.44897879
2022-09-08 17:23:00+09:00,2758899.0,2762868.0,2758685.0,2762503.0,13.9409986,38483494.67735513
2022-09-08 17:24:00+09:00,2761885.0,2762895.0,2760641.0,2761939.0,4.62799474,12781463.44009279
2022-09-08 17:25:00+09:00,2761524.0,2762948.0,2761263.0,2762062.0,2.75605507,7612836.86047634
2022-09-08 17:26:00+09:00,2762116.0,2763263.0,2760945.0,2762953.0,7.48757395,20681946.1086876
2022-09-08 17:27:00+09:00,2762706.0,2763910.0,2762000.0,2763741.0,2.08508,5761487.54903594
2022-09-08 17:28:00+09:00,2763741.0,2767643.0,2763080.0,2767642.0,6.988653,19327425.20897518
2022-09-08 17:29:00+09:00,2767449.0,2768000.0,2766425.0,2766899.0,10.29915051,28499697.43366567
2022-09-08 17:30:00+09:00,2767345.0,2768124.0,2766899.0,2768003.0,13.37101004,37008107.98461916
2022-09-08 17:31:00+09:00,2767922.0,2769731.0,2767126.0,2768486.0,13.94634018,38610251.18057734
2022-09-08 17:32:00+09:00,2768363.0,2769867.0,2767705.0,2769867.0,3.95942634,10962872.45883986
2022-09-08 17:33:00+09:00,2769715.0,2770295.0,2769369.0,2769370.0,7.55186483,20916416.22928764
2022-09-08 17:34:00+09:00,2769630.0,2770348.0,2768939.0,2770247.0,6.18430438,17129484.25474466
2022-09-08 17:35:00+09:00,2770000.0,2770500.0,2768045.0,2768142.0,4.23925865,11739327.79058495
2022-09-08 17:36:00+09:00,2768215.0,2770056.0,2767048.0,2769726.0,5.64373356,15626312.0057265
2022-09-08 17:37:00+09:00,2769215.0,2769251.0,2767234.0,2767780.0,3.42646871,9484442.0913696
2022-09-08 17:38:00+09:00,2767778.0,2768331.0,2767386.0,2767873.0,4.4462205,12307115.17117903
2022-09-08 17:39:00+09:00,2767634.0,2768057.0,2766563.0,2767529.0,9.53160723,26373420.39827624
2022-09-08 17:40:00+09:00,2767903.0,2768124.0,2766200.0,2766853.0,2.23612381,6187574.72353483
2022-09-08 17:41:00+09:00,2766932.0,2767802.0,2766620.0,2767677.0,4.34507752,12025368.38067863
2022-09-08 17:42:00+09:00,2767852.0,2769815.0,2767533.0,2769743.0,4.37282744,12107523.63699122
2022-09-08 17:43:00+09:00,2769862.0,2771258.0,2769810.0,2770214.0,5.49400204,15222702.75427609
2022-09-08 17:44:00+09:00,2770334.0,2771846.0,2769936.0,2770982.0,7.05941049,19563220.50561004
2022-09-08 17:45:00+09:00,2771032.0,2771753.0,2770792.0,2771126.0,2.84468012,7883300.20335558
2022-09-08 17:46:00+09:00,2771519.0,2771549.0,2770854.0,2771007.0,0.7962,2206458.94178702
2022-09-08 17:47:00+09:00,2771233.0,2772110.0,2770981.0,2771673.0,1.94299851,5385245.42557848
2022-09-08 17:48:00+09:00,2771372.0,2772160.0,2770592.0,2771071.0,3.68787787,10220116.71647342
2022-09-08 17:49:00+09:00,2771071.0,2771602.0,2770494.0,2771051.0,3.79949467,10528943.56016163
2022-09-08 17:50:00+09:00,2771512.0,2773243.0,2770891.0,2773243.0,4.23547154,11741774.80913725
2022-09-08 17:51:00+09:00,2772893.0,2774150.0,2772536.0,2773083.0,3.85772634,10698423.81738806
